﻿R10136-0_1_1,"I'm a person of ill omen, you'd better stay away from me.",ข้าคือผู้ที่จะนำโชคร้ายมาให้ เจ้าควรอยู่ให้ห่างจากข้าจะดีกว่า
R10136-5-1_1_3,"The Duke Qi we're looking for is no longer in Daliang City, he has ascended the throne and is now known as Long Xing..."
R10136-5-1_1_4,"Wha, what, how could this be..."
R10136-5-1_1_5,Doesn't this mean... I'll never be able to uncover the truth about the Ji family's extermination...
R10136-5-1_1_6,"Things aren't that bad, we can still confront Longxing Emperor, I don't believe his mere palace can stop me."
R10136-5-1_1_7,"No, that's too risky, it's not worth it."
R10136-5-1_1_8,"My promise to you still stands, if he is the real culprit behind the scenes, even if he is some damn emperor, I will make him pay with his life for the Ji family."
R10136-5-1_1_9,"Young man, be careful what you say."
R10136-5-1_1_10,Where did you come from?
R10136-5-1_1_11,"I'll pretend I didn't hear your wild words just now, I am here on the orders of Longxing Emperor, specifically to find the descendants of the Ji family."
R10136-5-1_1_12,"Trying to wipe us out completely, are you!"
R10136-5-1_1_13,"{PlayerName}, let him finish."
R10136-5-1_1_14,"""By the decree of Longxing Emperor: Imperial Historian Ji Hanqing, sacrificed his life for the national crisis, paid the price with the lives of his entire family, paralyzed the ears and eyes of Yan country, and secured the peace of the country, serving as the front guard for the plan against Yan. The Ji family's loyalty and sacrifice are commendable, they died a worthy death!"""
R10136-5-1_1_15,"""Now, the world is at peace, and it's time to reward those who have contributed. The Ji family's contribution is the greatest. I will personally clear the Ji family's name and reward the descendants of the Ji family. This is hereby announced to the world to comfort the loyal and heroic souls."""
R10136-5-1_1_16,"Miss Ji, do you now understand the painstaking efforts of Mr. Ji?"
R10136-5-1_1_17,……,……
R10136-5-1_1_18,"Mr. Ji and Duke Qi set up a bitter trick to deceive Yan country's trust, which gave Daliang City a chance to breathe and avoid being massacred."
R10136-5-1_1_19,"My father devoted his life to the country, and now he has achieved his wish and died a worthy death. I have no regrets..."
R10136-5-1_1_20,"In that case, please accept the reward, Miss Ji."
R10136-5-1_2_1,"Thank... thank you for your grace, Your Majesty."
R10136-5-1_2_2,"{PlayerName}, I'm tired, I want to go back to Ji Residence and be alone for a while."
R10136-5-1_2_3,I respect your wishes and won't disturb you during this time.
R10136-5-1_3_1,"To avoid further upsetting Miss Ji, let her calm down in Ji Residence for a while, I'll go find her <color=#097a76>three days later</color>."
R10136-5-1_4_1,"Miss Ji is probably still not calm, so don't disturb her for now."
R10136-5-1_5_1,I hope Miss Ji has calmed down.
R10136-5-1_6_1,"Miss Ji, are you all right?"
R10136-5-1_6_2,"{PlayerName}, I've thought it through these days, instead of wallowing in sadness, I should travel the world, eliminate the treacherous, and complete the unfinished business of my father."
R10136-5-1_6_3,"My remaining life is to live with more than ten members of the Ji family. As long as I live in the world for one day, the spirit of the Ji family will not be cut off."
R10136-5-1_6_4,"In that case, I'm afraid I'll have to trouble Miss Ji for our future journey in the martial arts world."
R10136-5-1_6_5,It's my duty.
R10136-6-1_1_1,"This is where my father taught me to play chess. When I was young, I found it boring, but my father patiently taught me."
R10136-6-1_1_2,The chess game on this board still retains the last game I played with my father...
R10136-6-1_1_3,"I clearly remember that I was about to lose, so I messed up the chess pieces, how come the game is still there..."
R10136-6-1_1_4,Could it be...
R10136-6-1_1_5,Could it be that my father later found each chess piece by memory and restored the game.
R10136-6-2_1_1,"I haven't sat on this swing for many years, my father still kept it here, saying he wanted to keep everything related to me, so when I'm not around, he can reminisce."
R10136-6-2_1_2,……
R10136-6-2_1_3,……
R10136-6-2_1_4,…………
R10136-6-2_1_5,Let's go.
R10136-6-3_1_1,"Every year on my birthday, my father would secretly bury something under the osmanthus tree. He thought he was being secretive, but I knew all along."
R10136-6-3_1_2,"I just don't know what he buried, maybe I should dig it up today to solve the mystery that has been bothering me for years."
R10136-6-3_1_3,"{PlayerName}, it seems like you're going to have a hard time."
R10136-6-3_1_4,Piece of cake!
R10136-6-3_1_5,Half a shichen later
R10136-6-3_2_1,"This, it turns out to be fifteen jars of Maiden wine..."
R10136-6-3_2_2,No one will bury wine for me on my birthday this year...
R10136-6-4_1_1,"This water jar was originally in the middle of the courtyard. When I was young, I was playful and didn't watch my way. I bumped into the water jar and I remember it hurt for a while."
R10136-6-4_1_2,"The next day, the water jar was moved here, and the outside of the jar was covered with straw and felt. It was arranged by my father to prevent me from getting hurt again."
R10136-6-4_1_3,"As soon as I close my eyes, I can still remember the look of concern on my father's face when he saw me crying in pain."
R10136-6-5_1_1,"This room is where my father entertains guests. I rarely come in here, but when I was young, I would often hide outside the door and listen to my father scolding those corrupt officials. It felt so satisfying."
R10136-6-5_1_2,"I suppose those guys who were scolded by my father are now celebrating.\nIf my father hadn't made so many enemies in his life, the Ji Residence wouldn't have been in trouble, and none of his former colleagues were willing to help."
R10136-6-6_1_1,"The last time I saw my father in the study, it was very unpleasant. That day, he slapped me in front of everyone and vowed to sever our father-daughter relationship."
R10136-6-6_1_2,"I ran out in a fit of anger, traveled around, and swore never to return to the Ji family. If he doesn't recognize me as his daughter, why should I care about this cold and heartless father."
