﻿M5003-4_1_1_1,I didn't expect there to be a Tea Stall here... ,ข้าไม่คิดว่าจะมีร้านชาอยู่ที่นี่...
R10020-2_1_12,"That is one of the four Guardians of the sect, Feng Xizi, who is always dressed like this, acting crazy, and often changes his tune and starts fighting... Everyone dares not approach him casually.",บุคคลผู้นั้นคือ 'เฟิงซีสือ' หนึ่งในสี่ผู้คุมกฎของนิกาย เขามักจะแต่งตัวเช่นนี้และทำตัวบ้าคลั่งเป็นปกติ เดี๋ยวดีเดี๋ยวร้าย ร้องงิ้วไปพลางแล้วก็ลงมือทำร้ายคนไปพลาง... ไม่มีใครกล้าเข้าใกล้เขาเลย
R10020-2_1_13,"I see... But the Guardian gave me a FistManual, he seems to be a good person... ",เป็นเช่นนี้นี่เอง... แต่เขาก็ให้ม้วนคัมภีร์หมัดข้ามาเล่มหนึ่ง ดูเหมือนว่าเขาจะเป็นคนดีเหมือนกันนะ...
R10020-2_1_14,What happened to the Guardian to become like this?,เกิดอะไรขึ้นกับผู้คุมกฎ ทำไมเขาถึงกลายเป็นแบบนี้?
R10020-2_1_15,"I'm not sure, we just heard that he came from the southeast, we don't know what happened.",เรื่องนั้นพวกเราก็ไม่แน่ใจเหมือนกัน ได้ยินแค่ว่าเขามาจากทางตะวันออกเฉียงใต้ ส่วนเรื่องราวในอดีตของเขาไม่มีใครล่วงรู้เลย
R10020-2_1_16,"I see, thank you for the information.",เป็นเช่นนี้เอง ขอบคุณที่บอกข้า
R10020-2-0_0_1,"(Opera tone) Wow, where did that Thug go!",(ร้องงิ้ว) ว้ายยย~ เจ้าสมุนกระจอกนั่นหายไปไหนแล้ว!?
R10020-2-0_0_2,"(It's still impossible to communicate with the Guardian in this state, let's talk about it later...)",(ผู้คุ้มกฏอยู่ในสภาพนี้ คงสื่อสารกันไม่ได้ ไว้ค่อยว่ากันทีหลัง...)
R10020-2-0_1_1,"(Opera tone) You are... the new Soldier that the lord has taken in, I have heard about you from the lord.",(ร้องงิ้ว) เจ้าเป็น... ทหารใหม่ที่นายท่านเพิ่งรับเข้ามาใช่หรือไม่? ข้าเคยได้ยินนายท่านกล่าวถึงเจ้า
R10020-2-0_1_2,(The senior should be able to communicate in this state...),(ตอนนี้ศิษย์พี่อยู่ในสภาวะที่พอจะพูดคุยกันได้แล้วสินะ...)
R10020-2-0_1_3,"I am {PlayerName}, newly joined the Nine Factions Sect, nice to meet you, senior.",ข้าน้อย{PlayerName} เพิ่งเข้าร่วมนิกายเก้าฝ่าย ขอคารวะศิษย์พี่
R10020-2-0_1_4,"(Opera tone) The lord has high hopes for you, don't let him down~",(ร้องงิ้ว) นายท่านฝากความหวังไว้ที่เจ้าอย่างมาก อย่าได้ทำให้เขาผิดหวังล่ะ~
Skill-2150-3_0_1,"(Opera tone) I have seen the king's skills, taking the enemy's head in the army, as easy as turning his hand.",(ร้องเป็นทำนองงิ้ว) ข้าเคยเห็นฝีมือของจอมยุทธ์ผู้ยิ่งใหญ่กลางสมรภูมิ ฆ่าขุนศึกท่ามกลางหมื่นกองทัพได้อย่างง่ายดาย~
Skill-2150-3_1_1,"(Opera tone) But your skills are similar to the king's, I won't show off my skills~",(ร้องเป็นทำนองงิ้ว) เพียงแต่วรยุทธ์ของเจ้าก็ใกล้เคียงกับจอมยุทธ์ผู้ยิ่งใหญ่เช่นกัน ข้าจึงไม่กล้าหาญกล้าสอนอันใดให้เสียเปล่า~
Skill-2150-3_1_2,"(Opera tone) I just hope you can solve problems for the lord, don't let the lord down.",(ร้องเป็นทำนองงิ้ว) ขอเพียงเจ้าช่วยแบ่งเบาภาระของนายท่าน อย่าได้ทำให้เขาผิดหวังก็พอ~
Skill-2150-3_2_1,"(Opera tone) Since you are the lord's Soldier, I should teach you the king's skills~",(ร้องเป็นทำนองงิ้ว) ในเมื่อเจ้าเป็นทหารของเจ้าเหนือหัว เช่นนั้นข้าย่อมต้องถ่ายทอดวรยุทธ์ของราชาให้เจ้า~
Skill-2150-3_2_2,(Opera tone) You use this technique to kill this enemy~,(ร้องเป็นทำนองงิ้ว) เจ้าจงใช้กระบวนท่านี้ เพื่อสังหารศัตรูให้สิ้นซาก~
Skill-2150-3_3_1,"Thank you for your teaching, senior.",ขอบคุณท่านอาวุโสที่ถ่ายทอดวิชาให้ข้า
Skill-2150-3_3_2,"(Opera tone) I just hope you can solve problems for the lord, don't let the lord down.",(ร้องเป็นทำนองงิ้ว) ขอเพียงเจ้าช่วยแบ่งเบาภาระของนายท่าน อย่าได้ทำให้เขาผิดหวังก็พอ~
School-2150-3_0_0_1,"{PlayerName}, you came just in time, the lord has something for you to do.",{PlayerName} เจ้ามาได้ถูกเวลา ข้ามีภารกิจหนึ่งจะมอบหมายให้เจ้า
School-2150-3_0_0_2,"{PlayerName}, your rapid growth after joining the sect is obvious to all, the lord is very pleased, this time I give you a task, you must complete it, you can't fail.",{PlayerName} ตั้งแต่เจ้าก้าวเข้าสู่นิกาย ฝีมือของเจ้าก้าวหน้าอย่างเห็นได้ชัด ข้ารู้สึกพึงพอใจอย่างมาก ครานี้ข้ามีภารกิจสำคัญมอบให้เจ้า จงทำให้สำเร็จ ห้ามล้มเหลวเป็นอันขาด!
School-2150-3_0_1_1,"Create Sun Daoren9.22, face to face with Tie Mianren",ซุนเต้าเหริน ปรากฏตัว 9.22 เผชิญหน้ากับ บุรุษหน้ากากเหล็ก
School-2150-3_0_2_1,"That is... I remember it's called Sun Daoren... \nDidn't he go to the Nameless Region to search for Yan Gexing? It seems that he didn't find it?","นั่นมัน... ถ้าข้าจำไม่ผิด ชื่อว่า ซุนเต้าเหริน...\nเขาไม่ได้ไปตามหา เยี่ยนเก้อซิง ที่ดินแดนไร้นามหรอกหรือ? ดูเหมือนว่าเขาจะไม่พบตัวสินะ?"
School-2150-3_0_2_2,"I'm incompetent, I couldn't find Yan Gexing's trace, please punish me, lord.",ข้าไร้ความสามารถ ไม่อาจหาตัว เยี่ยนเก้อซิง พบได้ ขอประมุขโปรดลงโทษ
