﻿M2341-14_0_0_1,There is a lingering smell of white vinegar...,มีกลิ่นน้ำส้มสายชูขาวจางๆ ที่ไม่จางหายไป...
M2341-24_1_5_5,"The first thing, the actions and purpose of the young hero on this island, all the Sect Leaders know. Master said they will stay in the main hall to distract them.",ประการแรก การกระทำและจุดประสงค์ของท่านจอมยุทธ์น้อยบนเกาะแห่งนี้ บรรดาหัวหน้าสํานักล้วนล่วงรู้แล้ว อาจารย์กล่าวว่า พวกเขาจะอยู่ในห้องโถงใหญ่ เพื่อเบี่ยงเบนความสนใจของคนอื่นๆ
M2341-24_1_5_6,"(The ""they"" he's talking about is probably Blood Rakshasa and his people...)","(ที่เขาว่า ""พวกมัน"" คงหมายถึง รากษสโลหิต และสมุนของมันเป็นแน่...)"
M2341-24_1_5_7,"Secondly, my master has also noticed the traces of someone's activities here, but can't find the person. Young hero, you must be very careful.",ประการที่สอง อาจารย์ยังพบร่องรอยการเคลื่อนไหวของใครบางคนในที่นี้ แต่หาตัวตนที่แท้จริงไม่พบ ท่านต้องระวังตัวให้มาก
M2341-24_1_5_8,"The third thing, there are too many eyes and ears in the main hall. If the young hero has no important matters, try not to enter and exit the main hall to avoid being noticed and causing trouble. It's good that we have {Me} here.",ประการที่สาม ในโถงใหญ่มีหูมีตามากเกินไป หากท่านจอมยุทธน้อยไม่มีเรื่องสำคัญอันใด โปรดหลีกเลี่ยงการเข้าออกห้องโถงใหญ่ เพื่อมิให้ผู้ใดจับพิรุธได้ อันจะก่อให้เกิดเหตุพลิกผัน ที่นี่มีพวกเราก็พอแล้ว
M2341-24_1_5_9,"The fourth thing, we have people at the front gate mountain path, behind the firewood room, and behind the backyard. We have noticed some suspicious individuals. I wonder if it's the impatient Vagabond who ran in.",ประการที่สี่ พวกเรามีคนเฝ้าบริเวณทางขึ้นเขาหน้าประตู ด้านหลังห้องเก็บฟืน และบริเวณป่าหลังสำนัก พวกเราสังเกตเห็นบุคคลต้องสงสัย ข้าสงสัยว่าอาจจะเป็นชาวยุทธ์ที่ใจร้อนแอบเข้ามาหรือเปล่า
M2341-24_1_5_10,"If there's no other place to investigate, you might want to check here.",หากไร้ซึ่งเบาะแสในการสืบสวน บางทีอาจเริ่มต้นจากที่นี่ได้
M2341-24_1_5_11,Okay.,ตกลง
M2341-24_1_5_12,"Since the message has been delivered, I'll take my leave now.",เมื่อถ้อยคำได้ส่งถึงแล้ว ข้าขอลา
M2341-24_1_5_13,"The Sect Leader of the main hall will help {Me} distract attention, so the pressure for {Me} to act covertly will be much less...",เหล่าเจ้าสำนักในห้องโถงใหญ่ จะช่วยข้าดึงดูดความสนใจ หากข้าลงมืออย่างลับๆ ย่อมลดแรงกดดันไปได้ไม่น้อย...
M2341-24_1_6_1,"Young hero, may I have a word with you?",ท่านจอมยุทธน้อย ให้ข้าได้สนทนาสักครู่ได้หรือไม่?
M2341-24_1_6_2,Hmm? Ah? Alright.,หืม? อ่า? ก็ได้
M2341-24_1_6_3,"Young hero, the main hall is full of ears and eyes, and my master can't talk to you in public, so he asked me to convey a few things to you.",ท่านจอมยุทธน้อย ในห้องโถงใหญ่มีหูมีตามากมาย อาจารย์ไม่สะดวกสนทนากับท่านต่อหน้าผู้คน จึงให้ข้ามาแจ้งเรื่องราวที่อาจารย์ฝากฝังไว้
M2341-24_1_6_4,Please go ahead.,เชิญท่านกล่าว
M2341-24_1_6_5,"The first thing, the actions and purpose of the young hero on this island, all the Sect Leaders know. Master said they will stay in the main hall to distract them.",ประการแรก การกระทำและจุดประสงค์ของท่านจอมยุทธ์น้อยบนเกาะแห่งนี้ บรรดาหัวหน้าสํานักล้วนล่วงรู้แล้ว อาจารย์กล่าวว่า พวกเขาจะอยู่ในห้องโถงใหญ่ เพื่อเบี่ยงเบนความสนใจของคนอื่นๆ
